,Type,Price,Location,Baths,Area,Beds
0,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,3 Marla,1
1,Upper Portion,PKR55 Thousand,"Defence Road, Lahore, Punjab",3,1 Kanal,3
2,Lower Portion,PKR30 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,1
3,House,PKR1.1 Lakh,"Defence Road, Lahore, Punjab",6,10 Marla,6
4,House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
5,House,PKR2.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
6,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
7,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
8,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
9,Upper Portion,PKR45 Thousand,"Allama Iqbal Town, Lahore, Punjab",3,10 Marla,3
10,Lower Portion,PKR32 Thousand,"Valencia Housing Society, Lahore, Punjab",3,5 Marla,2
11,Upper Portion,PKR55 Thousand,"Valencia Housing Society, Lahore, Punjab",3,10 Marla,3
12,Lower Portion,PKR25 Thousand,"Park View City, Lahore, Punjab",2,5 Marla,1
13,Upper Portion,PKR45 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,10 Marla,3
14,Lower Portion,PKR3 Lakh,"Garden Town, Lahore, Punjab",5,2 Kanal,5
15,Lower Portion,PKR33 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
16,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
17,Lower Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,2
18,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
19,Lower Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
20,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
21,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
22,Flat,PKR38 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
23,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
24,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
25,Flat,PKR75 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
26,Flat,PKR70 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
27,House,PKR2 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
28,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
29,Lower Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
30,Lower Portion,PKR48 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,2
31,House,PKR65 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
32,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
33,Upper Portion,PKR32 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
34,Upper Portion,PKR50 Thousand,"Raiwind Road, Lahore, Punjab",4,1 Kanal,4
35,House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
36,House,PKR90 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
37,Upper Portion,PKR50 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
38,Upper Portion,PKR38 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
39,Lower Portion,PKR37 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
40,Upper Portion,PKR62 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,15 Marla,3
41,House,PKR1.05 Lakh,"Punjab Coop Housing Society, Lahore, Punjab",4,10 Marla,4
42,Upper Portion,PKR50 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
43,Flat,PKR18 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",1,2 Marla,1
44,Upper Portion,PKR50 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,10 Marla,2
45,House,PKR75 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",3,5 Marla,4
46,Flat,PKR33 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",1,3 Marla,1
47,Lower Portion,PKR66 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,10 Marla,2
48,House,PKR1.2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
49,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
50,Upper Portion,PKR75 Thousand,"Bahria Town, Lahore, Punjab",3,1 Kanal,3
51,Flat,PKR75 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
52,Lower Portion,PKR70 Thousand,"Bahria Town, Lahore, Punjab",2,1 Kanal,2
53,Flat,PKR70 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
54,House,PKR2 Lakh,"Bahria Town, Lahore, Punjab",6,1 Kanal,5
55,Flat,PKR50 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
56,Flat,PKR38 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
57,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
58,Flat,PKR35 Thousand,"Bahria Town, Lahore, Punjab",2,3.6 Marla,2
59,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
60,Flat,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
61,House,PKR1.05 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
62,Upper Portion,PKR1.5 Lakh,"Bahria Town, Lahore, Punjab",3,10 Marla,3
63,Flat,PKR45 Thousand,"Bahria Town, Lahore, Punjab",1,2.5 Marla,1
64,Lower Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
65,Flat,PKR24 Thousand,"Bahria Town, Lahore, Punjab",1,1.6 Marla,-
66,Upper Portion,PKR33 Thousand,"Paragon City, Lahore, Punjab",3,5 Marla,2
67,House,PKR65 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
68,House,PKR60 Thousand,"Green City, Lahore, Punjab",4,5.5 Marla,3
69,House,PKR53 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
70,House,PKR55 Thousand,"Paragon City, Lahore, Punjab",4,5 Marla,3
71,Upper Portion,PKR38 Thousand,"Paragon City, Lahore, Punjab",3,5 Marla,2
72,Flat,PKR18 Thousand,"Bahria Town, Lahore, Punjab",1,1.4 Marla,-
73,Lower Portion,PKR35 Thousand,"Johar Town, Lahore, Punjab",2,5 Marla,1
74,Flat,PKR18 Thousand,"Bahria Town, Lahore, Punjab",1,2 Marla,-
75,Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",4,15 Marla,4
76,Upper Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
77,Flat,PKR27 Thousand,"Bahria Town, Lahore, Punjab",1,1.6 Marla,1
78,Flat,PKR19 Thousand,"Bahria Town, Lahore, Punjab",1,1.3 Marla,-
79,House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",6,10 Marla,5
80,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
81,House,PKR30 Thousand,"New Lahore City, Lahore, Punjab",4,3 Marla,3
82,Upper Portion,PKR60 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
83,House,PKR80 Thousand,"Raiwind Road, Lahore, Punjab",4,5 Marla,3
84,House,PKR70 Thousand,"Raiwind Road, Lahore, Punjab",3,10 Marla,3
85,Lower Portion,PKR30 Thousand,"Allama Iqbal Town, Lahore, Punjab",2,5 Marla,1
86,House,PKR1 Lakh,"Raiwind Road, Lahore, Punjab",5,7 Marla,4
87,House,PKR35 Thousand,"Cantt, Lahore, Punjab",2,3 Marla,3
88,Upper Portion,PKR80 Thousand,"Raiwind Road, Lahore, Punjab",3,12 Marla,3
89,Upper Portion,PKR45 Thousand,"Cantt, Lahore, Punjab",2,8 Marla,2
90,Upper Portion,PKR40 Thousand,"Guldasht Town, Lahore, Punjab",2,10 Marla,2
91,House,PKR45 Thousand,"Bahria Orchard, Lahore, Punjab",4,5 Marla,3
92,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",5,8 Marla,5
93,Lower Portion,PKR42 Thousand,"PAF Colony, Lahore, Punjab",2,8 Marla,2
94,Upper Portion,PKR30 Thousand,"Bahria Town, Lahore, Punjab",1,5 Marla,1
95,Upper Portion,PKR55 Thousand,"PAF Colony, Lahore, Punjab",3,12 Marla,3
96,Flat,PKR90 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
97,House,PKR2.15 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
98,Upper Portion,PKR45 Thousand,"Bankers Avenue Cooperative Housing Society, Lahore, Punjab",2,10 Marla,2
99,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,8 Marla,4
100,Flat,PKR84 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
101,House,PKR60 Thousand,"Bahria Town, Lahore, Punjab",4,5 Marla,3
102,Flat,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,8 Marla,5
103,House,PKR2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
104,House,PKR2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
105,House,PKR1.8 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
106,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
107,House,PKR2.8 Lakh,"Johar Town, Lahore, Punjab",5,-,5
108,House,PKR80 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3
109,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,8
110,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
111,House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
112,House,PKR6 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
113,Upper Portion,PKR55 Thousand,"Bahria Town, Lahore, Punjab",2,5 Marla,2
114,House,PKR95 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3
115,Lower Portion,PKR28 Thousand,"Bahria Town, Lahore, Punjab",2,10 Marla,3
116,Flat,PKR55 Thousand,"Bahria Town, Lahore, Punjab",1,2.4 Marla,1
117,Flat,PKR40 Thousand,"Jubilee Town, Lahore, Punjab",2,3 Marla,2
118,Upper Portion,PKR42 Thousand,"Bahria Town, Lahore, Punjab",3,10 Marla,3
119,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
120,Flat,PKR25 Thousand,"Central Park Housing Scheme, Lahore, Punjab",2,5 Marla,2
121,House,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
122,Lower Portion,PKR45 Thousand,"Canal Garden, Lahore, Punjab",2,10 Marla,2
123,House,PKR70 Thousand,"DHA 11 Rahbar, Lahore, Punjab",4,5 Marla,3
124,House,PKR1.12 Lakh,"Bahria Town, Lahore, Punjab",5,12 Marla,4
125,House,PKR1.12 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,4
126,Upper Portion,PKR60 Thousand,"DHA 11 Rahbar, Lahore, Punjab",3,10 Marla,3
127,Upper Portion,PKR30 Thousand,"DHA 11 Rahbar, Lahore, Punjab",2,5 Marla,2
128,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
129,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
130,House,PKR3.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
131,Lower Portion,PKR50 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,1 Kanal,2
132,Upper Portion,PKR45 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,1 Kanal,3
133,House,PKR5.25 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
134,Flat,PKR16 Thousand,"Bahria Town, Lahore, Punjab",1,1.9 Marla,-
135,House,PKR1.2 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
136,Lower Portion,PKR1.6 Lakh,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
137,House,PKR90 Thousand,"Central Park Housing Scheme, Lahore, Punjab",6,1 Kanal,5
138,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
139,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
140,Lower Portion,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",2,1 Kanal,2
141,Lower Portion,PKR35 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,10 Marla,2
142,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",4,8 Marla,4
143,Upper Portion,PKR1.25 Lakh,"Gulberg, Lahore, Punjab",2,4 Kanal,2
144,House,PKR1.25 Lakh,"Gulberg, Lahore, Punjab",2,6 Marla,2
145,Upper Portion,PKR35 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,10 Marla,3
146,House,PKR4 Lakh,"Cavalry Ground, Lahore, Punjab",5,2 Kanal,4
147,House,PKR4 Lakh,"Cantt, Lahore, Punjab",4,3 Kanal,3
148,House,PKR5 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
149,House,PKR6 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
150,House,PKR4.5 Lakh,"Cantt, Lahore, Punjab",6,1.3 Kanal,5
151,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",5,1.2 Kanal,5
152,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
153,House,PKR75 Thousand,"Central Park Housing Scheme, Lahore, Punjab",6,10 Marla,5
154,House,PKR3.1 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
155,Upper Portion,PKR75 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,1 Kanal,3
156,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
157,Upper Portion,PKR35 Thousand,"Fazaia Housing Scheme, Lahore, Punjab",3,10 Marla,3
158,Flat,PKR58 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
159,Flat,PKR85 Thousand,"Askari, Lahore, Punjab",3,10 Marla,3
160,Flat,PKR58 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
161,Lower Portion,PKR70 Thousand,"IEP Engineers Town, Lahore, Punjab",3,1 Kanal,3
162,Lower Portion,PKR1.35 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
163,House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
164,Flat,PKR58 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
165,Flat,PKR58 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
166,House,PKR2.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
167,Flat,PKR58 Thousand,"Bahria Town, Lahore, Punjab",1,2.2 Marla,1
168,House,PKR78 Thousand,"Bahria Town, Lahore, Punjab",3,8 Marla,3
169,House,PKR68 Thousand,"Johar Town, Lahore, Punjab",3,5 Marla,3
170,House,PKR45 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,5 Marla,3
171,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
172,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
173,House,PKR95 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
174,Flat,PKR25 Thousand,"Rail Town (Canal City), Lahore, Punjab",2,2.7 Marla,2
175,House,PKR1.25 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,4
176,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,9.5 Marla,3
177,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
178,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,5 Marla,2
179,House,PKR1.2 Lakh,"DHA Defence, Lahore, Punjab",3,10 Marla,3
180,House,PKR4.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
181,House,PKR70 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
182,Room,PKR25 Thousand,"DHA Defence, Lahore, Punjab",-,10 Marla,-
183,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,2
184,House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
185,House,PKR45 Thousand,"Ferozepur Road, Lahore, Punjab",5,5 Marla,4
186,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
187,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,4
188,House,PKR1.7 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
189,House,PKR2.45 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
190,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
191,House,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
192,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
193,House,PKR5.25 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
194,House,PKR1.9 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
195,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
196,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
197,Flat,PKR80 Thousand,"Askari, Lahore, Punjab",4,10 Marla,3
198,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
199,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
200,House,PKR2.75 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
201,House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
202,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
203,House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
204,House,PKR5.75 Lakh,"DHA Defence, Lahore, Punjab",7,2 Kanal,6
205,House,PKR85 Thousand,"Bahria Town, Lahore, Punjab",6,10 Marla,5
206,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
207,House,PKR1 Lakh,"DHA Defence, Lahore, Punjab",5,8 Marla,5
208,Upper Portion,PKR60 Thousand,"Raiwind Road, Lahore, Punjab",-,10 Marla,-
209,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
210,House,PKR2.45 Lakh,"DHA Defence, Lahore, Punjab",-,1 Kanal,-
211,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
212,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
213,House,PKR2.7 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
214,House,PKR4.25 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
215,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
216,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
217,House,PKR1.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
218,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
219,House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,5
220,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
221,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
222,House,PKR2.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
223,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
224,House,PKR2.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
225,House,PKR2.4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
226,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1.2 Kanal,5
227,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
228,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
229,House,PKR4.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
230,House,PKR3.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
231,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",-,10 Marla,-
232,House,PKR3.35 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
233,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
234,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
235,House,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
236,House,PKR2.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
237,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
238,House,PKR2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
239,Upper Portion,PKR75 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",5,1.1 Kanal,4
240,House,PKR1.2 Lakh,"Green City, Lahore, Punjab",6,10 Marla,5
241,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
242,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
243,Upper Portion,PKR2.1 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
244,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,10 Marla,3
245,Upper Portion,PKR75 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
246,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
247,Upper Portion,PKR2 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
248,Upper Portion,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
249,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
250,Upper Portion,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
251,House,PKR80 Thousand,"Harbanspura, Lahore, Punjab",6,7 Marla,5
252,Lower Portion,PKR34 Thousand,"Central Park Housing Scheme, Lahore, Punjab",3,10 Marla,2
253,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
254,House,PKR2.85 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
255,House,PKR3.9 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
256,House,PKR3.7 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
257,House,PKR1.8 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
258,House,PKR2.25 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
259,House,PKR2.5 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
260,House,PKR1.5 Lakh,"DHA Defence, Lahore, Punjab",5,10 Marla,4
261,Upper Portion,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,1 Kanal,3
262,House,PKR50 Thousand,"Paragon City, Lahore, Punjab",4,3.5 Marla,3
263,House,PKR3.2 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
264,House,PKR1.1 Lakh,"DHA Defence, Lahore, Punjab",4,10 Marla,3
265,House,PKR1 Lakh,"Bahria Town, Lahore, Punjab",5,10 Marla,5
266,House,PKR55 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,3
267,Lower Portion,PKR25 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,6 Marla,1
268,House,PKR80 Thousand,"OPF Housing Scheme, Lahore, Punjab",5,6 Marla,4
269,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
270,House,PKR2.2 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,4
271,House,PKR5.2 Lakh,"DHA Defence, Lahore, Punjab",6,2 Kanal,6
272,Upper Portion,PKR2 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
273,House,PKR4 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
274,House,PKR3 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
275,House,PKR2.6 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,6
276,House,PKR4.05 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
277,House,PKR4.98 Lakh,"DHA Defence, Lahore, Punjab",6,1 Kanal,5
278,Upper Portion,PKR50 Thousand,"DHA Defence, Lahore, Punjab",2,10 Marla,2
279,House,PKR85 Thousand,"DHA Defence, Lahore, Punjab",3,5 Marla,3
280,House,PKR1.4 Lakh,"DHA Defence, Lahore, Punjab",3,7 Marla,3
281,Flat,PKR28 Thousand,"Cantt, Lahore, Punjab",1,3 Marla,1
282,House,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
283,Upper Portion,PKR1 Lakh,"DHA Defence, Lahore, Punjab",3,2 Kanal,3
284,House,PKR42 Thousand,"Pak Arab Housing Society, Lahore, Punjab",3,3 Marla,3
285,Upper Portion,PKR90 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
286,Flat,PKR22 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,3 Marla,1
287,Upper Portion,PKR70 Thousand,"Wapda Town, Lahore, Punjab",3,12 Marla,3
288,House,PKR75 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
289,House,PKR4.8 Lakh,"DHA Defence, Lahore, Punjab",5,1 Kanal,5
290,House,PKR1.3 Lakh,"Bahria Town, Lahore, Punjab",6,10 Marla,5
291,House,PKR1.1 Lakh,"Bahria Town, Lahore, Punjab",6,9.3 Marla,5
292,Upper Portion,PKR45 Thousand,"Bahria Town, Lahore, Punjab",4,10 Marla,3
293,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
294,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
295,Upper Portion,PKR80 Thousand,"DHA Defence, Lahore, Punjab",4,1 Kanal,4
296,House,PKR28 Thousand,"Ashiana-e-Quaid Housing Scheme, Lahore, Punjab",3,3 Marla,2
297,Upper Portion,PKR1.05 Lakh,"DHA Defence, Lahore, Punjab",3,1 Kanal,3
298,Upper Portion,PKR60 Thousand,"DHA Defence, Lahore, Punjab",2,1 Kanal,2
299,House,PKR60 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
300,House,PKR55 Thousand,"DHA Defence, Lahore, Punjab",4,5 Marla,3
301,Lower Portion,PKR35 Thousand,"Punjab Coop Housing Society, Lahore, Punjab",2,5 Marla,1
302,Lower Portion,PKR26 Thousand,"Pak Arab Housing Society, Lahore, Punjab",1,6 Marla,1
303,Upper Portion,PKR35 Thousand,"Bahria Town, Lahore, Punjab",3,5 Marla,2
304,House,PKR55 Thousand,"Lahore Medical Housing Society, Lahore, Punjab",4,5 Marla,3
